frames,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12,159.1760942750764,170.07903910682833,177.29512401426436,180.0,169.6111421845304,180.0,177.29512401426436,177.29512401426436,174.8055710922652,180.0,177.51044707800085,167.23443421894137,180.0,177.00965502483461,180.0,177.00965502483461,164.74488129694222,180.0,161.565051177078,178.45184230102205
13,180.0,172.31601817026603,180.0,172.31601817026603,180.0,180.0,180.0,180.0,177.51044707800085,177.51044707800085,177.29512401426436,169.93931020467704,180.0,180.0,180.0,172.17628926811474,172.56859202882748,174.8055710922652,165.21132238583482,180.0
14,169.69515353123398,177.51044707800085,180.0,177.29512401426436,172.31601817026603,180.0,180.0,180.0,180.0,180.0,177.29512401426436,169.93931020467704,180.0,180.0,180.0,172.17628926811474,172.56859202882748,174.8055710922652,165.21132238583482,180.0
15,155.86934779483389,170.07903910682833,175.05814495082666,175.05814495082666,175.0208941560017,180.0,180.0,180.0,180.0,180.0,177.29512401426436,169.93931020467704,180.0,177.00965502483461,177.00965502483461,175.04972776570824,169.69515353123398,177.51044707800085,162.50644640009918,176.7845160082518
16,180.0,172.31601817026603,180.0,180.0,172.31601817026603,180.0,180.0,180.0,180.0,177.51044707800085,169.69515353123398,175.04972776570824,180.0,178.13737905069334,180.0,176.91234871501493,169.69515353123398,180.0,156.80140948635182,180.0
17,180.0,169.6111421845304,180.0,180.0,172.31601817026603,180.0,180.0,180.0,180.0,177.51044707800085,169.69515353123398,175.04972776570824,178.13737905069334,180.0,180.0,180.0,166.6075022462489,180.0,158.19859051364818,178.60281897270363
18,180.0,167.20560060923484,174.88958243896877,174.8055710922652,177.51044707800085,177.51044707800085,177.51044707800085,180.0,180.0,177.51044707800085,169.69515353123398,175.04972776570824,180.0,178.13737905069334,180.0,176.91234871501493,169.69515353123398,180.0,156.80140948635182,180.0
19,180.0,167.20560060923484,174.88958243896877,172.31601817026603,177.51044707800085,177.51044707800085,180.0,177.51044707800085,177.51044707800085,177.51044707800085,172.56859202882748,172.17628926811474,180.0,180.0,178.13737905069334,176.91234871501493,169.69515353123398,180.0,156.80140948635182,180.0
20,180.0,170.07903910682833,177.12656150240647,169.69515353123398,177.51044707800085,180.0,180.0,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,176.82016988013575,171.86989764584402,169.69515353123398,174.8055710922652,165.21132238583482,180.0
21,180.0,170.07903910682833,177.12656150240647,169.69515353123398,177.51044707800085,180.0,180.0,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,176.82016988013575,171.86989764584402,169.69515353123398,177.51044707800085,159.290962408351,176.7845160082518
22,180.0,170.07903910682833,175.1666342432801,167.7352262721076,177.51044707800085,180.0,180.0,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,177.00965502483461,167.7352262721076,174.8055710922652,161.99583839408663,176.7845160082518
